
mouth	嘴
round	圆形的
face	脸
eye	眼睛
singer	歌手
artist	艺术家
crime	犯罪活动
criminal	罪犯
put	放
each	每个,各自
way	方式,路线
describe	描述
differently	不同地
another	另一,又一
end	结尾,尽头
in the end	最后
real	真正的;真实的
jeans	牛仔裤

Unit10	第十单元
noodle	面条
mutton	羊肉
beef	牛肉
cabbage	卷心菜;洋白菜
potato	土豆;马铃薯
special	特色菜;特价品;特别的;特殊的
would	愿意
would like	愿意;喜欢
yet	常用于否定句或疑问句)还;仍然
large	大号的;大的
order	点菜;命令
take one's order	点菜
size	大小;尺码
bowl	碗
one (large) bowl of	一碗
tofu	腐
meat	肉
dumpling	饺子
porridge	粥;面糊
onion	洋葱
fish	鱼;鱼肉
pancake	烙饼;薄饼
world	世界
around the world	世界各地
answer	答案;回答
different	不同的
cake	蛋糕
candle	蜡烛
age	年龄
make a wish	许愿
blow	吹
blow out	吹灭
if	如果
will	会
the UK	英国
candy	糖果
lucky	幸运的
popular	受欢迎的;普遍的
get popular	受欢迎;流行
cut up	切碎
idea	想法;主意
bring good luck to	给 带来好运
Unit11	第十一单元
milk	挤奶
cow	奶牛
milk a cow	给奶牛挤奶
horse	马
ride a horse	骑马
feed	喂养;饲养
feed chickens	喂鸡
farmer	农民;农场主
quite	相当;安全
quite a lot(of…)	许多
anything	任何东西;任何事物
grow	种植;生长;发育
farm	农场;务农;种田
pick	采;摘
excellent	极好的;优秀的
countryside	乡村;农村
in the countryside	在乡下;在农村
yesterday	昨天
flower	花
worry	担心;担忧
luckily	幸运地;好运地
sun	太阳
museum	博物馆
fire	火灾
fire station	消防站
painting	油画;绘画
exciting	使人兴奋的;令人激动的
lovely	可爱的
expensive	昂贵的
cheap	廉价的;便宜的
slow	缓慢的;迟缓的
fast	快地
robot	机器人
guide	导游;向导
gift	礼物;赠品
all in all	总的说来
everything	所有事物
interested	感兴趣的
be interested in	对……感兴趣
dark	黑暗的;昏暗的
hear	听到;听见

Unit12	第十二单元
camp	扎营;扎帐篷
lake	湖;湖泊
beach	海滩;沙滩
badminton	羽毛球运动
sheep	羊;绵羊
as	&pron作为,当做
natural	然的
butterfly	蝴蝶
visitor	游客;访问者
tired	疲倦的
stay	停留
stay up late	深夜;不留
away	离开
run away	跑开
mouse	老鼠
baby	幼小的
shout	呼叫;喊叫
shout at…	冲 大声叫嚷
woof	汪汪
language	语言
fiy	飞
kite	风筝
high	高的
high school	中学
ago	以前
India	印度
tent	帐篷
put up	搭起;举起
moon	月亮
surprise	惊奇;惊讶
get a surpris	吃惊
snake	蛇
scared	惊慌的
move	移动
shout to	对 大声喊叫
start	开始;着手
jump	跳跃
up and down	上上下下
wake	弄醒;醒
into	到 里面
forest	森林
ear	耳朵
