e-mail	电子邮件
call	打电话
lost	遗失;丢失
must	必须
set	一套;一副;一组
Unit7	第七单元
where	在哪里;到哪里
table	桌子
bed	床
bookcase	书架;书柜
sofa	沙发
chair	椅子
on	在上
under	在下
come	来;来到
desk	书桌
think	认为;想;思考
room	房间
their	他们的
hat	帽子
head	头
yeah	是的;对
know	知道;了解
radio	收音机;无线电广播
clock	时钟
tape	磁带;录音带;录像带
player	播放机
model	模型
plane	飞机
tidy	整洁的;井井有条的
our	我们的
everywhere	处处;到处;各地
always	总是
Unit8	第八单元
do	用于否定句疑问句;做;干
have	有
tennis	网球
ball	球
ping-pong	乒乓球
bat	球棒;球拍
soccer	足球
volleyball	排球
basketball	篮球
hey	嘿;喂
let	允许;让
us	我们
go	去;走
we	我们
late	迟到
has	有
get	去取;得到
sound	听起来好像
interesting	有趣的
boring	没趣的;令人厌倦的
fun	有趣的;使人快乐的;n乐趣;快乐
difficult	困难的
relaxing	轻松的;令人放松的
watch	注视;观看
TV	电视;电视机
same	相同的
love	爱;喜爱
with	和在一起;带有;使用
sport	体育运动
them	他们
only	只;仅
like	喜欢;喜爱
easy	容易的;不费力的
after	在以后
class	班级;课
classmate	同班同学
Unit9	第九单元
banana	香蕉
hamburger	汉堡包
tomato	西红柿
ice-cream	冰激凌
salad	沙拉
strawberry	草莓
pear	梨
milk	牛奶
bread	面包
birthday	生日
dinner	正餐
week	周;星期
food	食物
sure	当然;肯定;一定
burger	汉堡包
vegetable	蔬菜
fruit	水果
right	正确的;适当的
apple	苹果
then	那么
egg	蛋;鸡蛋
carrot	胡萝卜
rice	大米;米饭
chicken	鸡肉
breakfast	早餐;早饭
lunch	午餐
star	明星;星星
eat	吃
habit	习惯
healthy	健康的
really	真正地
question	问题
want	需要;想要
be	变成
fat	肥的;肥胖的
Unit10	第十单元
much	许多;大量;多少
sock	短袜
T-shirt	T恤衫
shorts	短裤
sweater	毛衣
trousers	裤子
shoe	鞋
skirt	裙子
dollar	元
big	大的;大号的
small	小的;小号的
short	短的;矮的
long	长的
woman	女子
need	需要
look	看;看上去
pair	一双;一对
take	买下;拿;取
ten	十
eleven	十一
twelve	十二
thirteen	十三
fifteen	十五
eighteen	十八
twenty	二十
thirty	三十
Mr	先生
clothes	衣服;服装
store	商店
buy	购买;买
sale	特价销售;出售
sell	出售;销售;卖
all	所有的;全部的
very	很;非常
price	价格
boy	男孩
Unit11	第十一单元
when	什么时候
month	月;月份
January	一月
February	二月
March	三月
April	四月
May	五月
June	六月
July	七月
August	八月
September	九月
October	十月
November	十一月
December	十二月
happy	愉快的;高兴的
old	年老的;旧的
party	聚会;晚会
first	um;第一
second	第二
third	第三
fifth	第五
eighth	第八
ninth	第九
twelfth	第十二
twentieth	第二十
test	测验;检查
trip	旅游;旅行
art	艺术;美术
festival	节;节日
dear	亲爱的
student	学生
thing	东西;事情
term	学期
busy	忙碌的;无暇的
time	时间
there	那里
Unit12	第十二单元
favorite	特别喜爱的
subject	学科;科目
science	科学
PE	体育
music	音乐;乐曲
math	数学
Chinese	语文;汉语中国的
geography	地理
history	历史
why	为什么
because	因为
Monday	星期一
Friday	星期五
Saturday	星期六
free	空闲的
cool	妙极的;酷的
Tuesday	星期二
Wednesday	星期三
Thursday	星期四
Sunday	星期日
AM	上午
PM	下午;午后
useful	有用的;有益的
from	从开始
from to	从...到
Mrs	太太;夫人
finish	完成;做好
lesson	课;一节课
hour	小时
